registro_id,data,ano,mes,dia,segmento,empresa,cidade,numero_clientes,ticket_medio,receita,custo,lucro,indice_satisfacao,taxa_ocupacao,taxa_crescimento,custo_marketing,investimento_publicidade,previsao_vendas,previsao_custos,sensibilidade_negocios,indice_correcao,programacao_linear,regiao,estado,pais,tipo_cliente,canal_venda,categoria_produto,tipo_servico,plano,faixa_etaria,genero,fonte_trafego,dispositivo,sistema_operacional,navegador,quantidade_produtos,custo_por_cliente,receita_por_cliente,lucro_por_cliente,desconto_medio,percentual_desconto,taxa_conversao,vendas_por_vendedor,comissao_vendas,valor_impostos,frete_medio,pedidos_por_cliente,LTV,CAC,MRR,ARR,receita_media_diaria,custo_por_clique,custo_por_mil_impressoes,taxa_de_clique,impressoes,cliques,leads_gerados,custo_por_lead,ROAS,avaliacao_media,numero_avaliacoes,NPS,CSAT,reclamacoes,tempo_medio_resposta,tempo_medio_entrega,taxa_devolucao,nivel_estoque,giro_estoque,custo_estoque,numero_fornecedores,taxa_de_defeito,usuarios_ativos,tempo_medio_sessao,taxa_retencao,churn_rate,funcionalidade_mais_usada,numero_sessoes,RevPAR,taxa_evasao,tempo_medio_atendimento,despesa_administrativa,despesa_com_pessoal,despesa_fixa,despesa_variavel,despesa_tributaria,despesa_financeira
985,2022-03-01,2022,3,1,Varejo,Azevedo Ltda.,Machado de Minas,1,39.46,39.46,30.27,9.19,7.8,,-48.35,3.23,18240.44,41.51,30.5,84.15,0.988,1350.53,Amazonas,RJ,Brasil,Pessoa Jurídica,Online,Alimentos,,,36-45,Feminino,Email,Mobile,Windows,Firefox,76,30.27,39.46,9.19,36.37,47.96,1.26,15,0.91,4.49,1.61,13.62,5518.71,166.45,0.0,0.0,1.32,10.99,27.69,10.01,9665,967,75,0.04,0.0,1.7,44,-58,1,32,3.95,3.68,34.72,159,1.15,2626.8,42,4.11,0,69.25,16.85,11.05,,164,,,,17219.57,0.0,16824.93,30304.72,4.21,186.67
1354,2022-03-01,2022,3,1,Varejo,Brito Nogueira Ltda.,Brito,1,32.93,32.93,21.82,11.11,8.7,,2.54,3.02,27040.27,36.38,23.46,15.62,1.004,61.95,Roraima,SC,Brasil,B2B,Representante,Livros,,,36-45,Masculino,Email,Tablet,Windows,Chrome,6,21.82,32.93,11.11,71.24,68.39,30.76,4,0.38,6.0,0.0,13.66,160965.21,209.23,0.0,0.0,1.1,17.78,37.32,10.44,16620,1735,230,0.01,0.0,1.0,48,-70,1,37,26.69,5.86,62.89,91,0.81,969.91,39,1.41,0,60.99,11.97,12.12,,161,,,,9652.19,21817.66,27542.49,20064.71,2.88,307.55
1963,2022-03-01,2022,3,1,TI,Araújo Azevedo S/A,Moreira do Norte,1,50.14,50.14,46.82,3.32,5.6,,25.23,5.87,26115.02,56.35,48.8,52.54,0.977,391.12,Sergipe,ES,Brasil,Pessoa Física,Online,,Desenvolvimento,Gratuito,26-35,Masculino,Referência,Desktop,Windows,Outro,0,46.82,50.14,3.32,195.18,79.56,0.14,0,0.0,6.43,0.0,6.71,438.15,57.03,57.04,684.48,1.67,35.52,67.18,20.13,30542,6148,384,0.02,0.0,1.8,123,-8,4,65,58.16,2.36,86.98,0,0.0,0.0,18,3.1,172,240.5,47.05,10.17,FuncA,358,,,,13105.35,51485.96,44591.5,18724.85,5.14,3041.98
2365,2022-03-01,2022,3,1,Varejo,Melo,Brito,1,34.89,34.89,32.8,2.09,8.3,,2.45,5.1,78.61,37.83,35.84,18.92,1.074,1049.77,Rio Grande do Sul,RN,Brasil,B2C,Online,Móveis,,,36-45,Feminino,Busca orgânica,Tablet,macOS,Safari,33,32.8,34.89,2.09,99.01,73.94,13.87,4,1.67,5.98,0.0,3.11,16.39,60.36,0.0,0.0,1.16,30.69,55.58,21.09,38407,8100,444,0.01,0.44,2.8,115,56,3,48,106.72,7.64,52.44,52,1.97,1016.33,3,4.79,0,373.15,39.84,25.72,,484,,,,15244.03,78649.53,30017.65,12844.4,3.6,3225.2
2730,2022-03-01,2022,3,1,TI,Jesus,Nogueira de Cunha,1,38.66,38.66,28.31,10.35,8.7,,25.88,5.04,34870.19,41.48,30.58,74.47,1.034,1759.92,Maranhão,MA,Brasil,B2C,Loja física,,Suporte,Teste,46-55,Outro,Busca orgânica,Mobile,Linux,Safari,0,28.31,38.66,10.35,66.0,63.06,0.0,0,0.0,4.38,0.0,5.93,19.81,64.02,37.3,447.6,1.29,26.75,40.92,17.52,44087,7724,506,0.01,0.0,4.0,45,-18,1,52,88.11,8.89,58.07,0,0.0,0.0,9,5.4,440,427.28,77.99,62.07,FuncA,569,,,,19709.48,181423.27,18266.25,14706.49,4.85,1921.01
2791,2022-03-01,2022,3,1,Varejo,da Cunha,Sousa,1,35.26,35.26,30.78,4.48,9.9,,76.82,3.69,29646.07,40.04,31.5,74.05,1.035,205.34,Amazonas,TO,Brasil,Pessoa Física,Loja física,Alimentos,,,26-35,Outro,Anúncio pago,Mobile,Windows,Edge,65,30.78,35.26,4.48,66.25,65.26,11.29,5,0.79,8.66,4.29,7.93,263.23,135.57,0.0,0.0,1.18,21.11,21.11,12.82,44180,5663,467,0.01,0.0,3.8,54,-93,3,39,90.65,12.37,59.79,133,0.56,1026.84,11,1.54,0,459.24,95.79,58.32,,600,,,,12050.88,175922.0,18568.21,17200.88,4.08,901.66
423,2022-03-02,2022,3,2,Varejo,Jesus Ferreira - EI,Silveira Paulista,1,39.7,39.7,33.22,6.48,5.7,,-26.05,5.74,13778.67,45.42,34.97,83.88,0.956,1615.7,Espírito Santo,SE,Brasil,Pessoa Jurídica,Aplicativo,Roupas,,,36-45,Feminino,Busca orgânica,Mobile,Android,Firefox,5,33.22,39.7,6.48,14.56,26.83,6.8,1,1.56,10.69,0.68,1.61,2.4,177.51,0.0,0.0,1.32,0.01,11.61,0.29,10853,31,26,0.22,0.0,5.0,92,-11,4,25,11.07,13.41,13.48,200,1.44,3060.98,9,5.18,0,177.33,4.29,15.54,,54,,,,2834.83,16396.16,8784.48,22712.12,5.28,550.3
557,2022-03-02,2022,3,2,TI,Novaes,Rocha de Goiás,1,52.13,52.13,47.14,4.99,8.5,,6.93,5.81,4338.62,56.93,51.19,93.64,1.023,2590.15,Rondônia,PI,Brasil,B2B,Telefone,,Desenvolvimento,Básico,18-25,Masculino,Email,Mobile,iOS,Chrome,0,47.14,52.13,4.99,0.14,0.27,4.18,0,0.0,9.72,0.0,1.05,4.08,199.16,44.77,537.24,1.74,4.51,17.59,7.44,4964,369,175,0.03,0.01,1.7,155,62,2,22,27.27,2.74,13.83,0,0.0,0.0,14,3.1,95,118.07,45.23,31.95,FuncB,132,,,,5512.94,5294.62,10639.67,24076.81,5.41,184.45
559,2022-03-02,2022,3,2,TI,da Cruz das Neves - ME,Souza,1,52.18,52.18,33.27,18.91,4.8,,4.72,7.69,4920.62,58.17,34.7,85.47,1.082,2373.43,Mato Grosso,SC,Brasil,B2B,Online,,Outros,Teste,46-55,Feminino,Anúncio pago,Desktop,Windows,Chrome,0,33.27,52.18,18.91,0.0,0.0,6.29,0,0.0,11.96,0.0,1.63,3.39,203.16,60.03,720.36,1.74,4.41,16.25,6.78,5479,371,174,0.04,0.01,2.7,179,66,3,20,28.16,2.54,14.07,0,0.0,0.0,16,3.03,120,128.72,36.1,30.0,FuncB,135,,,,5068.64,9221.52,9870.07,24432.28,7.43,0.0
714,2022-03-02,2022,3,2,Varejo,Leão e Filhos,Barbosa,1,42.07,42.07,38.79,3.28,7.2,,-37.2,3.55,17394.26,44.51,42.67,27.7,1.08,825.54,Sergipe,AM,Brasil,Pessoa Física,Loja física,Roupas,,,46-55,Masculino,Referência,Desktop,Linux,Chrome,56,38.79,42.07,3.28,79.97,65.53,8.68,9,1.28,6.88,0.08,2.6,1043.38,106.71,0.0,0.0,1.4,2.14,24.88,18.01,12332,2220,154,0.02,0.0,1.0,173,-80,3,15,7.45,0.32,18.67,121,1.1,2267.93,7,1.53,0,47.33,52.86,26.07,,84,,,,3095.15,6050.61,16998.26,36589.41,2.62,97.67
827,2022-03-02,2022,3,2,TI,Rocha,Nascimento do Galho,1,46.31,46.31,41.23,5.08,6.6,,-42.93,6.88,23924.07,51.03,43.87,70.58,0.923,1052.41,Acre,AM,Brasil,Pessoa Jurídica,Telefone,,Suporte,Gratuito,55+,Masculino,Referência,Tablet,iOS,Firefox,0,41.23,46.31,5.08,0.0,0.0,19.17,0,0.0,6.09,0.0,4.61,662.27,162.66,50.56,606.72,1.54,8.54,25.54,17.05,9481,1616,93,0.07,0.0,1.6,256,-3,4,28,6.94,2.05,17.51,0,0.0,0.0,18,5.58,63,26.15,52.2,28.81,FuncB,143,,,,3104.06,3892.95,15821.04,38052.02,4.8,1112.38
953,2022-03-02,2022,3,2,Varejo,Vargas,Mendonça da Serra,1,39.34,39.34,27.26,12.08,9.5,,10.37,7.4,9544.8,42.12,28.44,58.7,0.982,2320.26,Goiás,BA,Brasil,B2B,Aplicativo,Livros,,,55+,Outro,Direto,Desktop,Windows,Chrome,5,27.26,39.34,12.08,29.09,42.51,15.11,10,1.63,7.95,0.0,12.46,8476.26,179.84,0.0,0.0,1.31,11.98,29.17,10.4,7874,818,24,0.31,0.0,2.6,91,8,5,31,15.68,7.96,23.8,120,2.89,1864.46,29,2.87,0,21.3,89.97,13.84,,169,,,,16014.5,6149.57,14219.6,31962.01,4.78,761.42
1150,2022-03-02,2022,3,2,Varejo,Barros,Azevedo da Serra,1,31.65,31.65,21.17,10.48,6.6,,78.89,4.34,40534.09,34.93,21.2,39.25,1.067,2873.95,Tocantins,AP,Brasil,Pessoa Física,Online,Roupas,,,26-35,Feminino,Direto,Tablet,Linux,Firefox,9,21.17,31.65,10.48,0.0,0.0,21.35,9,1.0,9.1,0.0,12.51,7794.63,239.97,0.0,0.0,1.05,12.25,0.01,15.84,16428,2602,56,0.08,0.0,1.3,141,-55,2,37,28.29,8.4,48.25,183,1.78,1680.27,58,3.23,0,17.46,16.28,18.95,,167,,,,14972.21,1724.33,21497.47,23645.58,3.78,395.24
1421,2022-03-02,2022,3,2,TI,da Rocha,Vasconcelos de da Rosa,1,30.34,30.34,19.22,11.12,7.4,,41.85,3.55,33931.34,33.81,19.82,4.68,1.012,1850.69,Roraima,GO,Brasil,B2C,Aplicativo,,Suporte,Teste,26-35,Feminino,Direto,Tablet,Windows,Edge,0,19.22,30.34,11.12,84.9,73.67,24.55,0,0.0,7.77,0.0,8.3,60993.32,158.41,31.32,375.84,1.01,18.58,20.39,7.62,8166,622,241,0.01,0.0,2.2,58,33,5,42,25.84,3.98,57.48,0,0.0,0.0,45,3.4,601,21.21,3.92,18.26,FuncA,148,,,,12491.25,36271.43,34224.38,23301.95,1.84,498.67
1883,2022-03-02,2022,3,2,Varejo,da Mota,Jesus,1,44.72,44.72,31.55,13.17,6.3,,7.64,2.24,26060.26,49.15,33.2,45.83,1.075,540.77,Rio de Janeiro,MS,Brasil,Pessoa Física,Loja física,Livros,,,18-25,Outro,Busca orgânica,Desktop,iOS,Firefox,48,31.55,44.72,13.17,189.55,80.91,0.6,5,1.06,5.84,0.0,4.96,532.0,87.0,0.0,0.0,1.49,44.46,54.16,18.7,34031,6363,425,0.01,0.0,4.1,42,-69,3,67,52.68,2.65,99.82,80,0.19,1223.21,29,5.24,0,156.24,91.25,7.99,,311,,,,8291.15,64002.55,42915.55,15709.5,3.84,2139.28
2166,2022-03-02,2022,3,2,Varejo,Costela,Peixoto,1,50.9,50.9,44.52,6.38,8.4,,-21.18,7.12,17009.15,57.99,46.17,26.52,0.966,857.54,Bahia,TO,Brasil,Pessoa Física,Aplicativo,Móveis,,,18-25,Feminino,Busca orgânica,Mobile,Android,Safari,82,44.52,50.9,6.38,171.08,77.07,11.65,20,2.36,10.87,0.0,6.55,193.09,81.51,0.0,0.0,1.7,34.87,74.85,20.96,38476,8064,400,0.02,0.0,2.7,86,55,3,41,53.3,1.5,75.67,218,2.12,3924.09,12,3.8,0,280.85,85.33,36.72,,434,,,,16396.29,57291.13,50709.99,14382.69,6.14,2165.21
2372,2022-03-02,2022,3,2,TI,Porto,Melo de Macedo,1,33.67,33.67,28.84,4.83,8.0,,3.14,3.38,3687.02,35.68,30.19,26.34,1.03,975.32,Rio Grande do Norte,ES,Brasil,Pessoa Física,Loja física,,Outros,Teste,26-35,Masculino,Anúncio pago,Mobile,Linux,Safari,0,28.84,33.67,4.83,97.24,74.28,8.17,0,0.0,8.79,0.0,3.19,9.42,44.11,36.13,433.56,1.12,32.16,56.96,20.69,41330,8551,377,0.01,0.01,2.7,139,96,2,47,107.0,9.77,49.66,0,0.0,0.0,4,5.67,299,382.81,35.44,28.43,FuncA,478,,,,16662.5,78458.47,29895.2,13470.03,4.25,2915.93
2703,2022-03-02,2022,3,2,Varejo,Lima,Santos,1,38.08,38.08,28.06,10.02,5.6,,23.56,4.23,31259.51,40.3,29.24,80.49,0.99,562.6,Rondônia,RO,Brasil,Pessoa Física,Representante,Roupas,,,18-25,Feminino,Email,Mobile,Android,Outro,19,28.06,38.08,10.02,73.09,65.75,6.6,8,1.45,7.97,0.0,7.09,8.09,84.1,0.0,0.0,1.27,29.98,49.12,18.35,43092,7907,466,0.01,0.0,2.8,45,10,5,60,90.78,7.28,56.36,13,0.72,103.24,1,7.1,0,434.0,87.69,52.71,,550,,,,20442.84,186939.9,16106.39,19453.09,2.71,2147.07
295,2022-03-03,2022,3,3,TI,Silveira,Alves,1,33.34,33.34,23.72,9.62,4.7,,-64.7,1.89,2721.53,36.2,23.8,57.8,0.971,3248.3,Goiás,SC,Brasil,Pessoa Física,Aplicativo,,Desenvolvimento,Básico,46-55,Masculino,Referência,Mobile,Android,Outro,0,23.72,33.34,9.62,26.65,44.42,0.0,0,0.0,4.0,0.0,2.09,1.47,162.86,28.24,338.88,1.11,4.14,13.93,2.35,9490,223,131,0.01,0.01,2.1,169,80,1,9,16.8,11.32,4.76,0,0.0,0.0,8,8.85,83,31.16,12.14,7.82,Outra,17,,,,52.87,2980.51,13030.03,13863.31,4.14,1089.93
413,2022-03-03,2022,3,3,Varejo,Abreu Jesus S/A,Lima de Moura,1,40.53,40.53,35.88,4.65,6.9,,-64.58,6.26,20440.35,45.57,36.68,82.3,1.038,1803.67,Santa Catarina,RR,Brasil,Pessoa Física,Telefone,Outros,,,18-25,Masculino,Busca orgânica,Mobile,Windows,Safari,46,35.88,40.53,4.65,7.72,16.0,10.31,7,1.05,5.97,0.8,2.43,1.34,182.73,0.0,0.0,1.35,0.01,16.45,0.36,9799,35,51,0.12,0.0,3.3,12,45,2,20,11.05,14.52,14.31,494,0.73,7620.08,4,4.84,0,172.63,15.1,15.91,,62,,,,2620.31,16174.24,9671.01,22258.64,3.74,566.43
895,2022-03-03,2022,3,3,Varejo,Pires Alves - EI,Melo,1,42.39,42.39,28.13,14.26,7.1,,21.65,4.17,9954.0,44.94,29.86,23.4,1.022,1630.73,Acre,SE,Brasil,B2C,Online,Eletrônicos,,,36-45,Outro,Rede social,Desktop,iOS,Edge,11,28.13,42.39,14.26,0.0,0.0,21.84,7,1.53,5.89,2.6,12.42,22492.54,176.18,0.0,0.0,1.41,12.45,8.56,12.87,815,104,44,0.09,0.0,1.0,184,-92,1,21,14.95,2.48,15.1,90,0.7,815.51,23,4.13,0,64.67,76.23,22.37,,186,,,,12507.54,2715.07,15487.51,37999.01,4.04,84.31
1294,2022-03-03,2022,3,3,TI,Albuquerque,Pereira de Garcia,1,25.01,25.01,16.6,8.41,5.6,,-30.57,4.79,29742.26,26.63,17.63,77.71,0.983,497.3,Rio Grande do Sul,MS,Brasil,Pessoa Física,Representante,,Desenvolvimento,Teste,26-35,Masculino,Busca orgânica,Mobile,macOS,Edge,0,16.6,25.01,8.41,103.02,80.47,17.7,0,0.0,4.66,0.0,13.99,36809.57,260.0,28.09,337.08,0.83,10.88,29.26,9.66,12373,1195,189,0.03,0.0,2.9,157,-57,1,12,24.36,5.18,53.91,0,0.0,0.0,51,3.17,508,67.76,5.69,20.39,FuncA,159,,,,5487.72,14881.68,28433.3,21155.71,3.73,596.03
1713,2022-03-03,2022,3,3,Varejo,da Rocha,Pereira da Mata,1,33.02,33.02,31.03,1.99,10.0,,70.25,4.76,34988.35,34.67,33.17,60.95,1.048,200.72,Pernambuco,RJ,Brasil,Pessoa Jurídica,Loja física,Móveis,,,36-45,Masculino,Anúncio pago,Desktop,Linux,Outro,2,31.03,33.02,1.99,172.53,83.94,0.0,10,1.1,3.51,0.0,3.25,2277.3,48.26,0.0,0.0,1.1,33.47,61.61,13.62,16938,2306,171,0.03,0.0,4.2,117,-31,2,44,38.66,3.18,78.59,169,0.62,1224.07,36,4.25,0,90.87,24.02,0.41,,249,,,,7215.47,58361.48,44043.18,15269.61,2.3,1226.41
2815,2022-03-03,2022,3,3,TI,da Luz,Cardoso de Costa,1,31.57,31.57,20.73,10.84,5.3,,65.53,5.56,25629.77,36.04,21.76,71.49,0.924,767.44,Distrito Federal,MS,Brasil,Pessoa Jurídica,Aplicativo,,Treinamento,Básico,26-35,Outro,Direto,Tablet,Linux,Firefox,0,20.73,31.57,10.84,69.51,68.77,5.1,0,0.0,6.37,0.0,7.8,71.24,108.05,33.0,396.0,1.05,22.97,8.91,10.9,46775,5098,452,0.01,0.0,3.4,19,-29,2,38,84.74,12.2,59.66,0,0.0,0.0,5,0.35,436,451.52,94.51,56.28,FuncB,603,,,,10532.57,177744.87,19409.96,19492.93,4.33,1342.25
2905,2022-03-03,2022,3,3,TI,Novais - ME,Pereira,1,30.04,30.04,21.5,8.54,9.0,,41.05,1.74,19217.55,33.18,22.01,93.32,1.014,1594.28,Distrito Federal,PE,Brasil,Pessoa Física,Online,,Desenvolvimento,Básico,55+,Masculino,Rede social,Desktop,macOS,Outro,0,21.5,30.04,8.54,23.77,44.17,7.86,0,0.0,5.04,0.0,12.76,82.78,107.54,34.98,419.76,1.0,23.29,19.38,9.91,47516,4708,429,0.0,0.0,3.6,115,-27,2,38,73.44,15.19,69.52,0,0.0,0.0,11,0.93,88,458.2,23.64,43.36,FuncB,633,,,,5800.0,167872.58,15976.87,22448.07,2.35,2221.08
2930,2022-03-03,2022,3,3,Varejo,Novais,Mendonça do Galho,1,32.37,32.37,28.27,4.1,8.2,,37.2,2.9,29328.91,35.88,31.06,69.18,1.059,2454.89,Rondônia,PB,Brasil,B2C,Loja física,Roupas,,,46-55,Masculino,Rede social,Mobile,Linux,Edge,10,28.27,32.37,4.1,42.63,56.84,8.45,9,1.38,5.31,0.0,14.04,55.08,101.29,0.0,0.0,1.08,22.82,21.14,12.38,48471,6000,382,0.01,0.0,5.0,78,-61,1,41,66.29,22.33,78.63,237,1.18,1887.83,14,0.43,0,468.28,48.86,42.53,,640,,,,5492.92,170699.45,18113.11,21147.81,4.21,2055.73
226,2022-03-04,2022,3,4,Varejo,Moreira,Azevedo,1,28.81,28.81,24.43,4.38,5.6,,-23.79,3.72,5399.81,31.95,25.38,5.41,1.083,2006.14,Paraíba,MG,Brasil,B2B,Online,Móveis,,,55+,Feminino,Rede social,Tablet,iOS,Safari,44,24.43,28.81,4.38,53.56,65.02,0.47,15,0.49,5.01,8.0,1.74,52.87,127.8,0.0,0.0,0.96,4.02,3.72,0.3,9344,28,138,0.03,0.01,1.4,142,46,4,10,17.43,13.53,5.84,137,2.47,2332.61,1,6.48,0,33.81,47.21,9.19,,26,,,,5866.28,972.31,14242.83,17430.73,4.22,112.66
568,2022-03-04,2022,3,4,TI,Correia Moraes S/A,Lima de Rios,1,49.09,49.09,33.89,15.2,9.6,,20.14,8.28,2884.72,53.65,34.95,67.31,1.051,2758.62,Paraná,RO,Brasil,Pessoa Física,Loja física,,Outros,Básico,55+,Feminino,Direto,Desktop,macOS,Outro,0,33.89,49.09,15.2,0.0,0.0,1.77,0,0.0,9.04,0.0,1.99,3.92,187.56,40.4,484.8,1.64,2.39,5.35,7.34,2946,216,143,0.06,0.02,2.7,193,-3,4,17,23.82,4.0,11.31,0,0.0,0.0,15,3.55,766,81.22,46.44,24.35,FuncA,122,,,,5113.12,7585.99,9709.65,24301.48,5.94,395.62
618,2022-03-04,2022,3,4,TI,Sousa,Martins dos Dourados,1,48.46,48.46,41.7,6.76,5.8,,20.04,8.8,14415.68,52.66,42.01,57.91,1.007,1691.04,Amapá,SC,Brasil,Pessoa Jurídica,Online,,Desenvolvimento,Básico,55+,Feminino,Rede social,Tablet,Windows,Edge,0,41.7,48.46,6.76,22.13,31.35,0.11,0,0.0,14.54,0.0,1.48,149.4,201.55,47.81,573.72,1.62,0.3,8.43,11.76,15942,1874,219,0.04,0.0,2.1,21,-22,1,13,15.31,6.76,21.34,0,0.0,0.0,5,4.23,221,27.4,76.44,29.84,FuncC,105,,,,4808.97,6746.52,10213.44,26579.15,6.52,1006.27
969,2022-03-04,2022,3,4,Varejo,Cassiano,Marques do Amparo,1,40.85,40.85,27.26,13.59,7.9,,-37.57,2.79,15664.68,46.08,28.22,97.31,0.943,1739.9,São Paulo,PR,Brasil,Pessoa Física,Representante,Livros,,,26-35,Outro,Rede social,Desktop,iOS,Firefox,83,27.26,40.85,13.59,25.59,38.52,8.08,11,0.41,8.27,1.46,12.47,22575.43,179.4,0.0,0.0,1.36,10.08,30.49,8.79,9441,829,78,0.04,0.0,3.6,76,-50,3,36,8.45,6.94,29.74,54,2.92,796.92,32,3.28,0,27.03,53.85,21.75,,160,,,,15089.23,1281.92,13239.6,31708.37,2.75,803.06
1308,2022-03-04,2022,3,4,TI,Moraes S.A.,Camargo,1,29.14,29.14,17.86,11.28,6.0,,-16.77,4.5,30283.47,31.74,18.33,35.02,0.971,90.8,Rio de Janeiro,DF,Brasil,Pessoa Física,Telefone,,Treinamento,Básico,36-45,Outro,Anúncio pago,Tablet,Android,Safari,0,17.86,29.14,11.28,131.86,81.9,26.06,0,0.0,5.53,0.0,12.61,73821.59,252.82,29.29,351.48,0.97,12.31,24.7,11.69,11107,1298,182,0.02,0.0,1.6,96,-31,3,26,24.74,4.05,52.4,0,0.0,0.0,46,2.12,445,106.16,11.67,26.83,FuncC,155,,,,7831.64,8450.49,30893.51,22451.02,3.8,649.91
1449,2022-03-04,2022,3,4,Varejo,Abreu Andrade - ME,Cavalcanti,1,28.7,28.7,19.83,8.87,7.5,,25.37,2.56,38129.06,30.35,20.0,20.83,1.051,212.52,Amazonas,PE,Brasil,Pessoa Física,Representante,Roupas,,,36-45,Masculino,Referência,Tablet,Android,Edge,45,19.83,28.7,8.87,132.37,82.18,13.71,12,1.0,3.18,0.0,8.35,18031.69,159.36,0.0,0.0,0.96,20.4,25.69,6.67,7959,530,297,0.01,0.0,1.0,96,84,4,54,25.16,6.76,51.14,22,1.99,375.12,35,5.48,0,36.0,36.87,6.56,,145,,,,10362.02,33054.81,31548.21,19976.37,3.91,364.68
2319,2022-03-04,2022,3,4,Varejo,da Conceição,Mendonça,1,51.23,51.23,40.4,10.83,10.0,,3.23,10.13,1646.2,57.6,42.46,28.38,0.942,1678.06,Pernambuco,PE,Brasil,Pessoa Jurídica,Telefone,Alimentos,,,18-25,Outro,Email,Tablet,macOS,Safari,42,40.4,51.23,10.83,134.29,72.39,14.32,4,0.7,11.56,1.14,1.99,80.01,85.07,0.0,0.0,1.71,34.5,67.19,21.64,44169,9558,431,0.02,0.03,1.5,40,75,2,44,95.49,8.5,59.36,109,0.42,1741.25,8,2.95,0,292.84,59.74,30.87,,455,,,,19731.77,77926.57,30719.34,14679.91,7.04,3003.3
2545,2022-03-04,2022,3,4,Varejo,Novais,Pires de Fogaça,1,35.36,35.36,25.79,9.57,7.5,,-42.0,6.02,17905.31,39.67,27.84,60.29,1.05,2475.68,Rio Grande do Norte,PA,Brasil,B2C,Telefone,Móveis,,,55+,Feminino,Direto,Desktop,iOS,Chrome,49,25.79,35.36,9.57,95.6,125.16,8.42,1,0.78,10.37,1.41,5.72,1.19,68.06,0.0,0.0,1.18,32.45,23.49,20.94,41372,8663,349,0.02,0.0,4.9,126,54,1,63,87.68,10.82,67.62,113,0.16,1173.51,6,5.46,0,406.55,7.5,38.45,,499,,,,9265.67,96434.41,17664.92,5429.55,3.19,260.57
2557,2022-03-04,2022,3,4,TI,Mendonça - ME,Gomes do Amparo,1,33.0,33.0,30.04,2.96,7.4,,-37.79,2.55,17813.42,34.85,31.44,96.77,0.979,2449.4,Espírito Santo,RN,Brasil,B2B,Telefone,,Desenvolvimento,Premium,46-55,Feminino,Rede social,Desktop,Windows,Firefox,0,30.04,33.0,2.96,85.22,72.09,1.77,0,0.0,5.66,0.0,7.27,1.99,72.19,36.28,435.36,1.1,33.58,32.89,19.41,43823,8506,454,0.01,0.0,4.4,111,74,2,63,92.51,10.96,67.63,0,0.0,0.0,4,7.34,459,398.81,18.1,39.9,FuncC,489,,,,9680.34,101053.39,17529.07,4598.68,4.71,315.97
294,2022-03-05,2022,3,5,TI,Aparecida - ME,Garcia,1,33.54,33.54,24.95,8.59,7.7,,-60.44,5.1,1503.52,36.01,26.72,63.02,0.932,3241.61,Sergipe,RR,Brasil,B2C,Representante,,Consultoria,Premium,46-55,Masculino,Busca orgânica,Tablet,macOS,Chrome,0,24.95,33.54,8.59,29.15,46.5,0.35,0,0.0,6.65,0.0,1.78,1.52,163.8,32.43,389.16,1.12,4.4,15.3,2.76,8997,248,122,0.04,0.02,2.3,150,69,2,9,17.05,11.04,5.92,0,0.0,0.0,6,8.79,92,21.54,5.34,6.88,FuncB,18,,,,346.48,3774.75,13349.99,14495.82,4.06,1122.17
811,2022-03-05,2022,3,5,Varejo,Fogaça da Rocha S/A,da Cruz,1,46.7,46.7,28.54,18.16,7.5,,-34.4,2.42,21151.55,52.13,30.7,34.59,1.054,1505.62,Ceará,BA,Brasil,Pessoa Física,Loja física,Roupas,,,36-45,Outro,Direto,Tablet,Linux,Outro,33,28.54,46.7,18.16,0.0,0.0,17.64,3,0.93,11.09,0.67,4.47,342.48,145.06,0.0,0.0,1.56,6.27,28.19,16.08,8483,1364,62,0.04,0.0,1.1,229,39,2,19,13.6,3.17,21.54,138,0.43,905.28,16,4.33,0,30.38,28.37,28.99,,139,,,,3057.42,74.81,18624.69,36881.97,6.3,1155.58
991,2022-03-05,2022,3,5,Varejo,Borges e Filhos,Cardoso de Costela,1,40.14,40.14,28.73,11.41,7.7,,-19.95,6.4,14931.53,45.64,30.77,97.81,0.999,2093.21,Espírito Santo,RN,Brasil,Pessoa Física,Loja física,Móveis,,,26-35,Masculino,Rede social,Mobile,Android,Edge,15,28.73,40.14,11.41,11.53,22.31,5.38,1,1.18,5.97,2.08,14.45,8031.0,159.86,0.0,0.0,1.34,13.58,25.0,12.24,9576,1172,84,0.08,0.0,1.0,36,-90,2,35,1.99,1.32,34.86,142,0.56,2088.2,45,4.75,0,67.64,25.2,8.5,,162,,,,15585.6,896.69,16331.76,31699.36,2.98,366.7
1089,2022-03-05,2022,3,5,Varejo,Alves da Conceição e Filhos,Silva,1,31.82,31.82,28.48,3.34,5.8,,25.37,4.82,36364.89,35.66,29.84,60.07,1.033,3247.39,Goiás,MT,Brasil,B2C,Representante,Eletrônicos,,,46-55,Outro,Busca orgânica,Tablet,macOS,Firefox,9,28.48,31.82,3.34,1.01,3.08,2.66,14,0.73,6.3,4.63,13.99,4131.48,204.71,0.0,0.0,1.06,10.03,13.6,17.75,14576,2587,30,0.16,0.0,4.8,90,-88,3,38,10.02,4.46,25.67,63,2.91,682.52,57,3.85,0,41.29,81.91,8.62,,154,,,,15833.0,4507.71,18016.72,33761.62,4.21,109.68
